ID,SEASON,SEASON TYPE,GAME ID,DATE,TEAMS,QUARTER,MINUTES REMAINING,SECONDS REMAINING,RESULT,SHOT TYPE,SHOT VALUE,SHOT AREA,SHOT RANGE,SHOT DISTANCE,SHOT X LOCATION,SHOT Y LOCATION,OPPONENT,HOME TEAM,AWAY TEAM
0,2011-12,Regular Season,0021100002,"DEC 25, 2011",DAL vs. MIA,1,10,7,Missed Shot,Step Back Jump shot,2PT Field Goal,Mid-Range,16-24 ft.,16,130,102,MIA,DAL,MIA
1,2011-12,Regular Season,0021100002,"DEC 25, 2011",DAL vs. MIA,1,8,51,Missed Shot,Fadeaway Jump Shot,2PT Field Goal,Mid-Range,8-16 ft.,12,127,23,MIA,DAL,MIA
2,2011-12,Regular Season,0021100002,"DEC 25, 2011",DAL vs. MIA,1,6,46,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,8-16 ft.,15,-158,0,MIA,DAL,MIA
3,2011-12,Regular Season,0021100002,"DEC 25, 2011",DAL vs. MIA,1,3,46,Missed Shot,Fadeaway Jump Shot,2PT Field Goal,Mid-Range,8-16 ft.,13,-134,12,MIA,DAL,MIA
4,2011-12,Regular Season,0021100002,"DEC 25, 2011",DAL vs. MIA,2,5,19,Missed Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Less Than 8 ft.,7,67,34,MIA,DAL,MIA
5,2011-12,Regular Season,0021100002,"DEC 25, 2011",DAL vs. MIA,2,3,11,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,8-16 ft.,15,132,72,MIA,DAL,MIA
6,2011-12,Regular Season,0021100002,"DEC 25, 2011",DAL vs. MIA,2,2,56,Made Shot,Driving Bank shot,2PT Field Goal,In The Paint (Non-RA),Less Than 8 ft.,5,50,26,MIA,DAL,MIA
7,2011-12,Regular Season,0021100002,"DEC 25, 2011",DAL vs. MIA,2,2,19,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,16-24 ft.,18,-182,4,MIA,DAL,MIA
8,2011-12,Regular Season,0021100002,"DEC 25, 2011",DAL vs. MIA,2,1,7,Missed Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),8-16 ft.,14,73,129,MIA,DAL,MIA
9,2011-12,Regular Season,0021100002,"DEC 25, 2011",DAL vs. MIA,3,11,21,Made Shot,Driving Bank shot,2PT Field Goal,Restricted Area,Less Than 8 ft.,3,-37,12,MIA,DAL,MIA
10,2011-12,Regular Season,0021100002,"DEC 25, 2011",DAL vs. MIA,3,10,52,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,16-24 ft.,20,173,108,MIA,DAL,MIA
11,2011-12,Regular Season,0021100002,"DEC 25, 2011",DAL vs. MIA,3,8,10,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Less Than 8 ft.,0,-7,0,MIA,DAL,MIA
